User_ID	Retweet_Frequency
1711909100	92
18800449	2751
1250676709	28
511002931	90
169591065	1
3126575487	3
587926686	391
42362189	2
105971663	1
519088938	1
2297825564	1
2404666492	456
2241616016	1284
66464745	164
124433969	305
714793656595714048	13
612017248	367
35421262	1
11920922	11
16461545	391
1170568212	254
973698920	343
2171546009	1
84050651	16
94171362	1
15051291	53
165787779	84
2318478616	7
769790822	2
22948575	77
8559342	4
104313486	45
807780127945785344	51
14386428	583
309847442	25
14678279	116
418064015	192
8720562	711
292196957	36
2414863997	88
216299334	215
2559809938	72
323019977	22
16031927	396
2739596257	449
2208185797	439
2409411473	15
2837802382	1
734887646	834
528870004	4
18935802	2688
119711344	198
109620460	7
2580635523	132
16730645	1
766679271754444800	5
521767423	56
14090948	144
889383904460668928	1
273065836	61
521781203	140
25345926	2
37404623	95
1374848251	59
51949667	1
2440135254	1
37340424	409
460625661	981
1275687901	16
2717454373	31
480054020	62
563743376	53
711523935242870784	220
851816976536264704	1
141422795	565
358992664	322
2269383706	51
1359555666	1
742260150929624960	10
49146481	2
755402037777592320	37
483824455	23
2975242264	170
42947259	1
87116649	2
82886693	287
106699882	26
126677638	9
2259539330	603
1912238342	410
2507651244	6
328773519	1
189801036	6
22545453	10
360228775	38
2236039028	1216
1949085066	817
210576889	140
2530830345	2646
702943810259722240	1
25717212	1
47350153	144
3297708797	305
2630842499	1145
792313694780788608	48
247119505	163
535759211	916
1468155384	119
296442003	20
78390546	185
231203880	2
70667264	3
248113252	117
714234573345931264	33
358545917	745
2179295420	1148
506270437	42
275276082	413
4875427757	5
1506556567	176
2153753316	19
804354386898124800	16
933693476	153
2255555484	1300
2532835560	776
145554702	1329
76611128	3
3249267995	217
3092154496	95
3600539122	41
4827828404	1
2951506251	908
2343557479	3
2316383071	173
2212451119	718
778299703033233408	6
4152518164	4
765543903252676608	28
237348797	13
24233697	106
47438401	3
178999981	33
2887465954	376
362832455	2
781511704186384384	1
351801146	26
1125937411	143
2901509361	1
282695161	1236
4839403219	16
18929234	22
2543262287	15
22254470	2
4736359456	64
2151657985	1189
2540976941	442
521761797	5
18380551	52
2788613084	91
50769180	702
23433605	49
4410646635	68
796261392	63
187646423	335
208638241	125
35009512	35
2182926994	1
141084952	28
30183522	1
2180172182	498
1561537848	154
717195376453783552	1
784516216543141760	2
735768999577849728	88
26458162	30
1960792351	1
2396748131	1198
2400066623	81
2242132914	4
2433058989	1296
2190406878	692
1687458685	401
2786982896	132
2255827333	2
365240401	9
16232843	26
555198400	6
3292306583	6
755851153703862272	11
72248630	190
2805169410	68
2822189391	1
2329889815	2672
2908916163	282
708471306702823424	19
367361136	4
859545368870101120	2
600477412	6
774074669230071808	211
50770790	1
24743022	1
330643630	10
829242257966563328	1
2539370129	525
68082652	48
14297098	9
181248815	2
26028780	9
587536100	6
72552866	35
36679267	7
21260214	1
72093743	9
53056220	17
818927131883356160	237
841446392610619520	45
39878846	12
415836996	113
246370146	1
2596413645	277
15793787	3
3107961830	115
4855880189	795
103466695	3
41634520	986
709479371380097024	205
2561941926	77
2777276305	78
2786074249	81
60317232	28
4478401337	1203
2536133791	9
73099646	17
247124972	25
42700240	16
369583954	36
93828170	1
3026085999	2
4739845481	23
349832208	269
155718531	47
593871970	13
449110269	268
928501014	24
46562247	206
16269666	74
2574668416	3
30276637	341
987655316	5
2404723930	1111
815548755378372608	2
27995424	213
26900055	560
798584517120393216	1
26546985	9
17800215	25
15433452	49
2431635645	982
796100784	23
459872442	53
2250517044	1273
2382322643	510
3419210573	86
237244779	1
2239037713	540
274316654	150
748930398	1
