User_ID	Reply Frequency	Retweet Frequency	Mention Frequency
14669471	1	3	7
286808929	1	25	28
24923472	9	2	16
261469386	1	6	7
1136202774	4	8	23
44397881	1	5	6
426705135	1	1	2
873224522	8	6	16
86317143	1	2	6
2377725654	1	8	15
579741951	2	11	19
2313281606	36	136	190
2398274629	7	1	9
2805161023	290	44	334
38496530	2	2	4
1316683644	6	15	62
912315266	1	4	6
430084739	2	2	6
201873934	81	5453	5594
20927633	1	3	5
486693790	1	2	1
3097964623	1	41	68
17988848	1142	91	1366
1608336715	3	12	15
2375801895	1	1	3
1570141640	1	6	7
3011723023	1	3	5
177416831	1	1	2
50712079	2	1	3
316736387	17	1	13
401122785	2	15	18
590812069	2	2	4
798234950	1	4	5
614158530	6	13	20
24727332	1	1	3
187646423	22	335	363
2411052358	2	1179	1180
24252468	1	4	39
1596432162	7	1	7
1110976454	79	156	294
200036850	26	4862	4949
3297708797	52	305	413
2839309297	1	1	2
522585544	1	11	15
980273166	1	1	2
174953869	50	139	211
1697247768	2	2	4
2290003688	485	25	510
2279028364	3	8	11
2509883976	328	27	355
275978388	3	13	16
2755265029	2	1	3
9204502	13	45	123
863792935	1	1	4
33957643	1	2	7
759786534	23	19	55
413541046	1	1	6
2800900343	4	71	75
4068245475	3	51	67
257690350	21	26	113
183988240	5	11	45
67953340	1	5	6
412376111	76	14	91
42420405	4	1	5
185374248	1	2	5
59511805	2	37	55
17471554	14	8	29
19637934	5	6	12
263858257	1	3	4
621620724	4	16	40
624501697	1	2	3
595655191	5	7	21
2472210439	1	1	2
2553547278	1	7	8
168041854	8	461	470
15812846	1	1	4
971604426	1	4	5
63188134	1	9	12
16331010	12	583	638
108155579	2	13	21
110363432	49	5	57
15965292	1	194	215
1307698790	6	51	59
931605320	1	2	3
17629860	1	16	966
2290087765	597	31	628
3911057572	3	17	25
2849646689	1	1	2
92367751	2	2	6
1994321	19	20	55
2588321996	1	3	5
61862477	1	1	2
161025798	2	1	3
62456552	11	55	85
554331348	1	7	8
2465958361	1	2	17
2490838703	11	270	293
192867657	1	1	2
1026499326	1	1	3
220110862	1	6	7
878095482	1	2	3
336129935	16	1	18
842378744	4	27	54
229955267	2	3	7
71584155	1	3	5
629526949	2	1	3
251881119	1	4	5
29109727	1	1	3
305877707	1	24	28
761611234714214400	1	32	39
170025854	2	57	84
235155042	2	2	4
1188147733	1	4	5
1372412077	4	1	5
147964447	145	1233	1479
603660185	1	6	59
18662181	1	2	12
1901480480	2	25	27
552825376	3	1	4
960633272	1	1	2
2923515053	1	1	2
2475380677	8	135	476
1921693052	2	2	5
425061632	1	81	88
2901789023	1	1	3
2447087492	1	34	36
499061626	1	2	3
2455414640	1	7	8
19596687	4	1	5
40709176	1	18	19
3358025795	5	1	6
167518667	2	12	16
86767345	13	11	38
3239434338	2	6	9
254242830	1	14	38
2503864297	2	2	4
554347818	1	1	2
2317490496	1	109	112
156012476	1	1	5
44945327	10	145	200
3236802742	1	1	2
612473	7	28	84
438133358	28	20	88
4662788909	1	40	50
2509685322	340	23	363
16163639	6	9	134
447833467	1	9	30
199314691	34	3	39
1833947012	1	4	6
323835711	1	3	6
15439395	4	1	5
333942404	23	7	35
2941802980	2	13	24
2285955236	282	26	308
1934787661	2	11	15
2509773493	336	27	362
268794274	1	1	2
242294538	1	3	4
437489357	28	182	277
25412148	1	1	3
1324053013	1	1	3
902596597	2	12	30
1902537799	2	2	4
622609200	1	148	149
15224867	4	5	784
19072286	3	7	18
2907534563	1	1	2
363761111	1	5	6
121250119	1	1	1
217366693	7	2	11
78762461	1	1	3
1717749890	1	62	71
816888456	1	1	4
31042387	1	2	3
15207668	22	10	283
471741741	4	2	8
27245530	5	3	11
25067168	4	11	26
200681161	1	1	3
55948054	1	23	28
708199243	1	15	19
2514828871	2	177	212
2437661736	1	4	5
702549891051081728	2	14	16
168838692	5	5	32
2365227071	1	16	18
21462959	4	1	6
323998361	1	8	9
310009766	1	1	3
1257518599	1	1	2
16711026	25	184	218
3806752275	2	208	213
526343521	8	1	9
426909329	7	4	11
106972564	6	3	4
2573305393	1	1	4
3088495287	1	9	10
16973333	37	4256	4421
1589759730	3	1	4
1125280285	1	12	13
20499665	4	2	7
240478776	2	266	283
2497286180	1	2	6
2196183115	1	1	8
2372294245	3	18	21
2849278880	3	5	8
735148471376830464	1	33	45
1331497189	2	2	5
1932204139	1	4	7
889065157	2	1	1
2328699660	2	48	52
2982605271	1	9	10
150135259	1	1	3
106129038	1	1	2
22779588	1	1	2
85724849	1	16	20
1935452844	1	3	6
719577194259988480	1	97	98
2184293941	6	1	7
864219044	13	3	24
2359402579	2	1	6
2289111609	11	6	16
55627282	1	25	27
2723531940	4	1	5
452521774	2	16	18
1655336869	1	2	3
1832762708	1	14	16
1684155818	7	5	18
826633866802757632	1	3	7
25049177	203	13	259
17524689	1	7	13
490306622	1	49	50
3378846314	36	4	41
3058734665	1	1	4
704944678739820544	2	2	4
289607643	2	3	5
418731185	112	8	158
918617936058707968	1	2	3
89476066	4	5	9
3609832754	1	93	137
2534802746	194	25	219
1068408252	33	1	35
833504414	1	3	8
22143491	2	101	103
2794082779	482	49	531
14613514	1	4	8
15455253	1	18	28
1071305250	18	18	32
111021184	27	116	250
2683783788	1	1	2
17325149	1	1	2
7702542	6	288	382
2286120991	275	19	294
210502357	1	13	19
508484740	1	1	2
19899606	2	91	112
1539043771	5	1	7
432536086	4	1	8
239769891	2	429	434
2475303566	17	2	19
41933342	1	8	11
1219144500	2	34	41
102862379	2	2	4
345660840	3	80	85
753506614359887872	1	1	2
57176793	1	204	289
3404297363	4	10	29
144658847	1	1	4
795208156888449024	1	1	2
16261513	3	12	17
429193089	10	15	52
635290195	1	1	3
17187236	1	9	12
1435587710	1	1	3
813846133	1	6	7
2798299790	1	2	5
2712941675	4	6	14
60630139	5	2	8
736372424	1	2	3
62290422	1	1	2
21867341	1	5	26
219222667	2	5	8
260654136	2	1	3
95153378	1	1	2
2378660815	29	5	34
457799927	51	19	89
50669520	1	24	29
500340487	1	2	4
18161620	1	33	34
223744995	1	14	17
321343548	1	1	2
567482790	1	3	5
14111205	1	174	177
196944358	1	1	2
3490528816	1	2	3
2573533481	4	1	5
521606194	1	2	3
2415824328	2	1	3
297996937	4	19	27
3165933443	2	5	8
270171383	1	19	21
597046933	2	227	242
1120298467	6	10	16
160856359	1	2	3
463123798	1	64	66
531480530	1	3	4
171622913	1	1	2
1081562149	4	30	34
30864583	1	2	7
1187856127	1	1	2
173596456	3	20	60
1122707976	3	168	214
192509831	7	7	14
362376702	1	3	5
2184811191	2	1	3
325049784	2	1	8
104435596	2	7	15
325830217	36	2	121
615422017	208	23	269
103158555	1	1	2
227837742	8	30	765
1656248106	20	5325	5368
2440318943	3	88	91
492833134	9	289	403
514567701	1	11	12
389973208	2	12	15
1419210396	2	1	3
323019977	2	22	26
23360808	1	2	3
858750770	1	4	6
495289557	6784	4	6774
596243227	1	4	17
138388479	1	4	5
1057777363	1	1	2
6974622	1	170	207
626287930	6	1	7
395797972	1	2	4
2586506401	1	3	22
637220816	1	3	5
1521567139	6	1	13
1540965523	5	3	9
3456580647	9	259	664
1462134764	1	1	2
1019750504	1	4	8
725064846056640512	1	25	36
359499566	2	2	4
365823104	25	17	45
3108468094	1	1	2
583456963	2	17	24
359967251	1	14	15
78693749	1	4	7
124335068	1	1	7
3417018562	1	4	8
2801177472	7	144	185
43581352	1	1	3
1306634376	3	3	7
2433860269	2	5	9
17980523	54	1650	2429
26053643	4	16	61
3161107329	1	12	14
224254489	125	700	897
3314747397	1	8	9
129584620	1	74	75
633454266	3	2	6
434682005	1	8	12
3898598357	6	6	12
481521814	3	3	4
816646148748431360	1	3	4
478172635	1	13	19
575769943	1	1	8
27793335	2	191	238
2263105532	4	2	9
225588431	2	1	3
47802715	119	166	524
2357142594	4	61	78
19042788	3	1	4
505049911	1	3	6
53154071	1	1	2
2229419858	1	1	2
1110562968	1	11	12
14066928	1	1	3
891187891	23	8	33
37164285	5	3	27
2395078364	1	1	3
627505338	1	1	7
26585095	1	2	503
52667312	1	2	5
407396556	5	67	82
18208354	3	14	50
390861996	1	1	3
703159573411028992	1	6	9
39938182	2	1	3
116362700	1	22	104
2799588421	2	13	26
1846172173	1	1	3
373316375	3	68	82
230499876	1	18	25
431877696	1	146	150
1511107110	3	1	7
547860279	1	2	31
2435581100	1	3	4
873435752	1	1	2
4785474946	1	1	2
1312451804	1	1	2
4260990112	1	1	2
2291924210	4	27	38
166990045	2	3	6
525674712	1	3	4
3374103395	1	18	19
3247988387	2	3	6
2365281413	1	4	5
3307277274	1	26	27
484026646	1	1	1
2205613735	3	2	6
1179479251	1	1	2
2207533183	2	3	6
2825893795	1	1	3
2758834280	38	308	421
2413696491	26	151	197
3405505149	1	4	5
16193222	2	50	103
1253925896	2	1	3
126052578	1	2	3
69181624	6	8	27
424228756	2	3	8
3418258625	1	329	332
20885959	1	1	2
866152442	1	1	2
29605320	2	1	4
2375904258	4	16	32
1303463496	1	1	2
2411049716	22	1	25
46775436	4	20	37
289843609	1	1	2
438319492	4	5	11
1528544377	4	2	6
310479529	4	13	17
4190547123	1	16	17
9427572	1	1	2
2290030938	374	17	391
859462639	2	1	3
972785569	1	3	4
3161660191	2	5	12
2177420990	1	2	3
3070382424	1	9	12
3481796535	1	1	2
40415457	1	1	4
996026984	1	2	4
3498448812	14	500	621
